customer_id,first_name,last_name,email,phone,join_date,country
C0000,Mary,Smith,user0@gmail.com,08123456789,2023-04-25,Nigeria
C0001,Mary,Ali,user1@gmail.com,08031234567,2023-02-17,Nigeria
C0002,John,Ali,user2@gmail,,2023/12/26,NG
C0003,Grace,Williams,user3@gmail.com,08031234567,2023/03/23,NG
C0004,Esther,Ola,user4@gmail,07012345678,2023-02-22,NG
C0005,Mary,Ola,user5@gmail.com,8123456789,2023-05-16,NG
C0006,Mary,Williams,user6@gmail,07012345678,2023/11/18,NG
C0007,Grace,,user7@gmail,,27-04-2023,Nigeria
C0008,Grace,,user8@gmail,07012345678,2023/08/21,NG
C0009,Ahmed,Ola,user9@gmail.com,,2023/05/17,Nigeria
C0010,Ahmed,Ali,user10@gmail.com,08123456789,25-08-2023,NG
C0011,Grace,,user11@gmail.com,08031234567,2023-04-28,NG
C0012,,Ola,user12@gmail,8123456789,2023-06-11,NG
C0013,,,user13@gmail.com,07012345678,2023-03-13,NG
C0014,,Ali,user14@gmail.com,08123456789,2023/03/12,NG
C0015,Mary,,user15@gmail,08031234567,2023/03/20,Nigeria
C0016,,Ali,user16@gmail,0803-123-4567,02-11-2023,NG
C0017,John,,user17@gmail.com,,02-10-2023,NG
C0018,Mary,Ola,user18@gmail.com,0803-123-4567,2023/01/02,NG
C0019,Ahmed,Ali,user19@gmail.com,,2023/06/02,Nigeria
C0020,Ahmed,Ola,user20@gmail.com,8123456789,2023-09-29,NG
C0021,,Smith,user21@gmail,07012345678,2023-06-07,Nigeria
C0022,Grace,Ali,user22@gmail.com,08031234567,2023-09-06,Nigeria
C0023,Ahmed,,user23@gmail.com,8123456789,26-03-2023,NG
C0024,Grace,Ali,user24@gmail.com,,2023/04/13,NG
C0025,,,user25@gmail.com,0803-123-4567,22-09-2023,Nigeria
C0026,Grace,Khan,user26@gmail,08031234567,2023/10/29,Nigeria
C0027,Grace,Smith,user27@gmail,,2023-01-31,Nigeria
C0028,John,,user28@gmail.com,8123456789,02-05-2023,NG
C0029,Grace,Ali,user29@gmail,8123456789,23-10-2023,Nigeria
C0030,,,user30@gmail.com,08031234567,2023/02/19,NG
C0031,Esther,Williams,user31@gmail.com,,2023/01/28,Nigeria
C0032,John,Williams,user32@gmail.com,08031234567,2023-05-08,Nigeria
C0033,,Khan,user33@gmail.com,07012345678,2023-08-25,Nigeria
C0034,,,user34@gmail.com,8123456789,2023-02-20,Nigeria
C0035,Mary,,user35@gmail.com,08123456789,28-07-2023,NG
C0036,Grace,,user36@gmail.com,08031234567,26-03-2023,Nigeria
C0037,,Ola,user37@gmail.com,0803-123-4567,27-05-2023,NG
C0038,Ahmed,Khan,user38@gmail.com,08031234567,2023/10/24,Nigeria
C0039,Esther,Smith,user39@gmail,0803-123-4567,2023/09/15,Nigeria
C0040,John,Ali,user40@gmail,08123456789,2023/02/05,Nigeria
C0041,Grace,Williams,user41@gmail,8123456789,2023/05/07,Nigeria
C0042,Mary,Williams,user42@gmail.com,8123456789,25-09-2023,NG
C0043,Grace,,user43@gmail.com,08123456789,16-05-2023,Nigeria
C0044,David,Williams,user44@gmail.com,08031234567,05-01-2023,Nigeria
C0045,Mary,Ali,user45@gmail.com,07012345678,09-03-2023,Nigeria
C0046,Grace,Ola,user46@gmail.com,0803-123-4567,2023/10/06,NG
C0047,John,,user47@gmail.com,07012345678,2023-12-06,Nigeria
C0048,David,Smith,user48@gmail.com,,2023-10-11,NG
C0049,David,Ali,user49@gmail.com,07012345678,2023/04/15,NG
C0050,,Ola,user50@gmail.com,08031234567,2023/02/17,NG
C0051,David,Smith,user51@gmail,08123456789,23-11-2023,Nigeria
C0052,,Ali,user52@gmail.com,8123456789,2023-01-05,Nigeria
C0053,Ahmed,Ali,user53@gmail,07012345678,2023/10/26,Nigeria
C0054,,Khan,user54@gmail,07012345678,21-01-2023,Nigeria
